SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_typeI,n_typeII,pobs,fdr_p
BD_typeIvstypeII_adolescent,R_posteriorcingulate,-0.016,0.126,,,213,90,9.05E-01,9.83E-01
BD_typeIvstypeII_adolescent,R_precentral,-0.117,0.126,,,213,90,3.80E-01,7.87E-01
BD_typeIvstypeII_adolescent,R_precuneus,0.006,0.126,,,213,90,9.64E-01,9.96E-01
BD_typeIvstypeII_adolescent,R_rostralanteriorcingulate,0.172,0.126,,,212,90,2.00E-01,6.55E-01
BD_typeIvstypeII_adolescent,R_rostralmiddlefrontal,-0.08,0.126,,,212,89,5.51E-01,8.63E-01
BD_typeIvstypeII_adolescent,R_superiorfrontal,-0.153,0.126,,,212,90,2.55E-01,6.97E-01
BD_typeIvstypeII_adolescent,R_superiorparietal,0.206,0.126,,,213,90,1.24E-01,5.53E-01
BD_typeIvstypeII_adolescent,R_superiortemporal,-0.085,0.126,,,213,90,5.26E-01,8.50E-01
BD_typeIvstypeII_adolescent,R_supramarginal,-0.086,0.126,,,213,89,5.22E-01,8.47E-01
BD_typeIvstypeII_adolescent,R_frontalpole,0.1,0.126,,,213,90,4.53E-01,8.29E-01
BD_typeIvstypeII_adolescent,R_temporalpole,0.054,0.126,,,213,90,6.86E-01,9.25E-01
BD_typeIvstypeII_adolescent,R_transversetemporal,-0.042,0.126,,,213,90,7.54E-01,9.44E-01
BD_typeIvstypeII_adolescent,R_insula,-0.051,0.126,,,212,90,7.06E-01,9.26E-01
