SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_early,n_late,pobs,fdr_p
MDDadult_earlyvslate,L_superiorparietal,-0.047,0.06,,,457,1071,0.433,0.961
MDDadult_earlyvslate,L_superiortemporal,-0.005,0.065,,,431,1032,0.944,0.978
MDDadult_earlyvslate,L_supramarginal,-0.031,0.077,,,450,1050,0.69,0.961
MDDadult_earlyvslate,L_frontalpole,-0.015,0.101,,,462,1087,0.88,0.977
MDDadult_earlyvslate,L_temporalpole,0.027,0.072,,,446,1074,0.712,0.961
MDDadult_earlyvslate,L_transversetemporal,0.019,0.07,,,462,1086,0.79,0.961
MDDadult_earlyvslate,L_insula,-0.001,0.073,,,460,1088,0.987,0.987
MDDadult_earlyvslate,R_bankssts,-0.077,0.061,,,443,1030,0.206,0.961
MDDadult_earlyvslate,R_caudalanteriorcingulate,-0.021,0.06,,,460,1075,0.728,0.961
MDDadult_earlyvslate,R_caudalmiddlefrontal,-0.004,0.06,,,461,1077,0.95,0.978
MDDadult_earlyvslate,R_cuneus,0.006,0.098,,,461,1083,0.947,0.978
MDDadult_earlyvslate,R_entorhinal,0.14,0.061,,,438,1027,0.022,0.464
MDDadult_earlyvslate,R_fusiform,0.02,0.085,,,452,1056,0.815,0.961
MDDadult_earlyvslate,R_inferiorparietal,-0.067,0.06,,,455,1070,0.267,0.961
MDDadult_earlyvslate,R_inferiortemporal,-0.088,0.06,,,454,1081,0.142,0.961
MDDadult_earlyvslate,R_isthmuscingulate,-0.05,0.077,,,460,1087,0.517,0.961
MDDadult_earlyvslate,R_lateraloccipital,0.033,0.06,,,461,1084,0.58,0.961
MDDadult_earlyvslate,R_lateralorbitofrontal,-0.036,0.059,,,462,1088,0.542,0.961
MDDadult_earlyvslate,R_lingual,0.059,0.059,,,462,1085,0.323,0.961
MDDadult_earlyvslate,R_medialorbitofrontal,-0.034,0.073,,,458,1074,0.643,0.961
MDDadult_earlyvslate,R_middletemporal,-0.123,0.096,,,449,1068,0.203,0.961
MDDadult_earlyvslate,R_parahippocampal,0.021,0.07,,,458,1074,0.762,0.961
MDDadult_earlyvslate,R_paracentral,-0.034,0.06,,,460,1069,0.573,0.961
MDDadult_earlyvslate,R_parsopercularis,0.023,0.061,,,457,1079,0.71,0.961
MDDadult_earlyvslate,R_parsorbitalis,-0.002,0.06,,,461,1087,0.979,0.987
MDDadult_earlyvslate,R_parstriangularis,-0.112,0.06,,,461,1081,0.059,0.593
MDDadult_earlyvslate,R_pericalcarine,0.02,0.059,,,462,1087,0.742,0.961
MDDadult_earlyvslate,R_postcentral,-0.081,0.06,,,457,1066,0.178,0.961
MDDadult_earlyvslate,R_posteriorcingulate,-0.017,0.069,,,462,1086,0.8,0.961
MDDadult_earlyvslate,R_precentral,-0.033,0.06,,,457,1076,0.583,0.961
MDDadult_earlyvslate,R_precuneus,-0.092,0.06,,,462,1084,0.124,0.961
MDDadult_earlyvslate,R_rostralanteriorcingulate,-0.019,0.06,,,458,1070,0.745,0.961
MDDadult_earlyvslate,R_rostralmiddlefrontal,-0.043,0.079,,,460,1078,0.581,0.961
MDDadult_earlyvslate,R_superiorfrontal,-0.03,0.06,,,460,1066,0.613,0.961
MDDadult_earlyvslate,R_superiorparietal,-0.013,0.06,,,457,1070,0.827,0.961
MDDadult_earlyvslate,R_superiortemporal,-0.144,0.117,,,427,1040,0.22,0.961
MDDadult_earlyvslate,R_supramarginal,-0.167,0.06,,,453,1060,0.006,0.271
MDDadult_earlyvslate,R_frontalpole,0.026,0.059,,,462,1086,0.664,0.961
MDDadult_earlyvslate,R_temporalpole,0.036,0.087,,,441,1068,0.678,0.961
MDDadult_earlyvslate,R_transversetemporal,-0.089,0.093,,,462,1088,0.335,0.961
MDDadult_earlyvslate,R_insula,-0.087,0.082,,,462,1082,0.29,0.961
