CorticalThickness,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadult-casevsCN-firstepisode,L-superiorfrontal,-0.128,0.048,,,7247,534,0.008,0.05
MDDadult-casevsCN-firstepisode,L-superiorparietal,0.033,0.048,,,7241,534,0.491,0.625
MDDadult-casevsCN-firstepisode,L-superiortemporal,-0.015,0.049,,,7196,522,0.764,0.835
MDDadult-casevsCN-firstepisode,L-supramarginal,-0.053,0.052,,,7229,530,0.316,0.46
MDDadult-casevsCN-firstepisode,L-frontalpole,-0.117,0.048,,,7251,534,0.016,0.093
MDDadult-casevsCN-firstepisode,L-temporalpole,-0.05,0.048,,,7226,534,0.304,0.453
MDDadult-casevsCN-firstepisode,L-transversetemporal,-0.07,0.048,,,7231,531,0.146,0.292
MDDadult-casevsCN-firstepisode,L-insula,-0.171,0.048,,,7253,535,3.93E-04,0.014
MDDadult-casevsCN-firstepisode,R-bankssts,-0.071,0.057,,,7222,520,0.208,0.364
MDDadult-casevsCN-firstepisode,R-caudalanteriorcingulate,-0.129,0.048,,,7252,535,0.007,0.05
MDDadult-casevsCN-firstepisode,R-caudalmiddlefrontal,-0.048,0.077,,,7245,534,0.527,0.634
MDDadult-casevsCN-firstepisode,R-cuneus,0.064,0.048,,,7252,535,0.184,0.339
MDDadult-casevsCN-firstepisode,R-entorhinal,-0.07,0.048,,,7240,534,0.145,0.292
MDDadult-casevsCN-firstepisode,R-fusiform,-0.159,0.058,,,7250,535,0.006,0.05
MDDadult-casevsCN-firstepisode,R-inferiorparietal,-0.061,0.071,,,7239,534,0.39,0.558
MDDadult-casevsCN-firstepisode,R-inferiortemporal,-0.115,0.049,,,7248,534,0.018,0.098
MDDadult-casevsCN-firstepisode,R-isthmuscingulate,-0.19,0.067,,,7250,534,0.005,0.05
MDDadult-casevsCN-firstepisode,R-lateraloccipital,-0.016,0.085,,,7245,535,0.853,0.905
MDDadult-casevsCN-firstepisode,R-lateralorbitofrontal,-0.117,0.051,,,7240,535,0.022,0.098
MDDadult-casevsCN-firstepisode,R-lingual,-0.065,0.048,,,7239,532,0.181,0.339
MDDadult-casevsCN-firstepisode,R-medialorbitofrontal,-0.112,0.048,,,7237,535,0.021,0.098
MDDadult-casevsCN-firstepisode,R-middletemporal,-0.096,0.048,,,7244,533,0.046,0.154
MDDadult-casevsCN-firstepisode,R-parahippocampal,-0.001,0.048,,,7251,535,0.99,0.99
MDDadult-casevsCN-firstepisode,R-paracentral,-0.073,0.048,,,7248,534,0.128,0.29
MDDadult-casevsCN-firstepisode,R-parsopercularis,-0.15,0.1,,,7250,534,0.132,0.29
MDDadult-casevsCN-firstepisode,R-parsorbitalis,-0.119,0.058,,,7252,535,0.039,0.145
MDDadult-casevsCN-firstepisode,R-parstriangularis,-0.038,0.048,,,7244,535,0.437,0.599
MDDadult-casevsCN-firstepisode,R-pericalcarine,0.146,0.13,,,7234,535,0.26,0.404
MDDadult-casevsCN-firstepisode,R-postcentral,-0.027,0.074,,,7239,533,0.712,0.803
MDDadult-casevsCN-firstepisode,R-posteriorcingulate,-0.163,0.048,,,7250,535,7.40E-04,0.017
MDDadult-casevsCN-firstepisode,R-precentral,-0.03,0.048,,,7242,535,0.531,0.634
MDDadult-casevsCN-firstepisode,R-precuneus,-0.049,0.072,,,7244,533,0.491,0.625
MDDadult-casevsCN-firstepisode,R-rostralanteriorcingulate,-0.134,0.048,,,7250,535,0.006,0.05
MDDadult-casevsCN-firstepisode,R-rostralmiddlefrontal,-0.07,0.048,,,7245,533,0.145,0.292
MDDadult-casevsCN-firstepisode,R-superiorfrontal,-0.111,0.048,,,7244,535,0.022,0.098
MDDadult-casevsCN-firstepisode,R-superiorparietal,0.015,0.048,,,7241,535,0.757,0.835
MDDadult-casevsCN-firstepisode,R-superiortemporal,-0.075,0.049,,,7229,521,0.122,0.286
MDDadult-casevsCN-firstepisode,R-supramarginal,-0.15,0.079,,,7243,527,0.058,0.164
MDDadult-casevsCN-firstepisode,R-frontalpole,-0.127,0.063,,,7253,533,0.042,0.148
MDDadult-casevsCN-firstepisode,R-temporalpole,0.02,0.049,,,7239,533,0.682,0.783
MDDadult-casevsCN-firstepisode,R-transversetemporal,-0.085,0.048,,,7217,532,0.079,0.205
MDDadult-casevsCN-firstepisode,R-insula,-0.187,0.048,,,7253,535,1.10E-04,0.008
