SurfaceArea,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadult-casevsCN-firstepisode,L-postcentral,0.041,0.083,,,7168,523,0.624,0.986
MDDadult-casevsCN-firstepisode,L-posteriorcingulate,-0.04,0.048,,,7243,533,0.409,0.986
MDDadult-casevsCN-firstepisode,L-precentral,0.066,0.071,,,7188,525,0.354,0.986
MDDadult-casevsCN-firstepisode,L-precuneus,-0.019,0.065,,,7231,533,0.771,0.986
MDDadult-casevsCN-firstepisode,L-rostralanteriorcingulate,-1.85E-04,0.058,,,7136,518,0.997,0.997
MDDadult-casevsCN-firstepisode,L-rostralmiddlefrontal,0.037,0.068,,,7232,533,0.579,0.986
MDDadult-casevsCN-firstepisode,L-superiorfrontal,0.07,0.061,,,7150,526,0.253,0.986
MDDadult-casevsCN-firstepisode,L-superiorparietal,-0.017,0.072,,,7188,528,0.811,0.986
MDDadult-casevsCN-firstepisode,L-superiortemporal,0.015,0.097,,,7162,513,0.876,0.986
MDDadult-casevsCN-firstepisode,L-supramarginal,-0.009,0.082,,,7136,515,0.913,0.986
MDDadult-casevsCN-firstepisode,L-frontalpole,0.002,0.048,,,7252,535,0.972,0.986
MDDadult-casevsCN-firstepisode,L-temporalpole,0.09,0.048,,,7232,530,0.064,0.986
MDDadult-casevsCN-firstepisode,L-transversetemporal,-0.04,0.093,,,7251,534,0.672,0.986
MDDadult-casevsCN-firstepisode,L-insula,0.034,0.062,,,7235,534,0.579,0.986
MDDadult-casevsCN-firstepisode,R-bankssts,0.03,0.074,,,7179,514,0.684,0.986
MDDadult-casevsCN-firstepisode,R-caudalanteriorcingulate,-0.017,0.05,,,7212,528,0.733,0.986
MDDadult-casevsCN-firstepisode,R-caudalmiddlefrontal,0.035,0.063,,,7215,529,0.577,0.986
MDDadult-casevsCN-firstepisode,R-cuneus,0.03,0.048,,,7232,531,0.54,0.986
MDDadult-casevsCN-firstepisode,R-entorhinal,0.035,0.051,,,7051,506,0.491,0.986
MDDadult-casevsCN-firstepisode,R-fusiform,-0.004,0.055,,,7124,517,0.94,0.986
MDDadult-casevsCN-firstepisode,R-inferiorparietal,0.06,0.069,,,7182,526,0.384,0.986
MDDadult-casevsCN-firstepisode,R-inferiortemporal,0.025,0.058,,,7242,534,0.662,0.986
MDDadult-casevsCN-firstepisode,R-isthmuscingulate,0.048,0.048,,,7242,535,0.316,0.986
MDDadult-casevsCN-firstepisode,R-lateraloccipital,0.053,0.068,,,7237,533,0.433,0.986
MDDadult-casevsCN-firstepisode,R-lateralorbitofrontal,-0.004,0.099,,,7250,535,0.967,0.986
MDDadult-casevsCN-firstepisode,R-lingual,-0.035,0.048,,,7247,534,0.473,0.986
MDDadult-casevsCN-firstepisode,R-medialorbitofrontal,-0.008,0.121,,,7215,529,0.947,0.986
MDDadult-casevsCN-firstepisode,R-middletemporal,0.026,0.089,,,7197,527,0.772,0.986
MDDadult-casevsCN-firstepisode,R-parahippocampal,-0.065,0.07,,,7203,529,0.357,0.986
MDDadult-casevsCN-firstepisode,R-paracentral,-0.006,0.049,,,7190,526,0.901,0.986
MDDadult-casevsCN-firstepisode,R-parsopercularis,-0.007,0.071,,,7218,528,0.926,0.986
MDDadult-casevsCN-firstepisode,R-parsorbitalis,0.042,0.081,,,7247,534,0.606,0.986
MDDadult-casevsCN-firstepisode,R-parstriangularis,-0.023,0.053,,,7221,530,0.661,0.986
MDDadult-casevsCN-firstepisode,R-pericalcarine,-0.041,0.048,,,7249,534,0.395,0.986
MDDadult-casevsCN-firstepisode,R-postcentral,0.043,0.071,,,7193,531,0.541,0.986
MDDadult-casevsCN-firstepisode,R-posteriorcingulate,0.022,0.083,,,7243,533,0.793,0.986
MDDadult-casevsCN-firstepisode,R-precentral,0.026,0.075,,,7188,530,0.727,0.986
MDDadult-casevsCN-firstepisode,R-precuneus,-0.051,0.078,,,7233,532,0.513,0.986
MDDadult-casevsCN-firstepisode,R-rostralanteriorcingulate,0.014,0.049,,,7194,526,0.771,0.986
MDDadult-casevsCN-firstepisode,R-rostralmiddlefrontal,0.061,0.052,,,7231,530,0.245,0.986
MDDadult-casevsCN-firstepisode,R-superiorfrontal,0.033,0.09,,,7184,523,0.714,0.986
MDDadult-casevsCN-firstepisode,R-superiorparietal,-0.033,0.071,,,7206,529,0.638,0.986
MDDadult-casevsCN-firstepisode,R-superiortemporal,0.018,0.102,,,7195,516,0.864,0.986
MDDadult-casevsCN-firstepisode,R-supramarginal,-0.05,0.094,,,7185,521,0.597,0.986
MDDadult-casevsCN-firstepisode,R-frontalpole,0.011,0.067,,,7249,535,0.865,0.986
MDDadult-casevsCN-firstepisode,R-temporalpole,0.024,0.068,,,7182,527,0.728,0.986
MDDadult-casevsCN-firstepisode,R-transversetemporal,-0.085,0.06,,,7251,535,0.162,0.986
MDDadult-casevsCN-firstepisode,R-insula,0.013,0.062,,,7243,533,0.837,0.986
