CorticalThickness,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadolescent-casevsCN-recurrent,L-superiortemporal,-0.09,0.219,,,141,97,0.681,0.989
MDDadolescent-casevsCN-recurrent,L-supramarginal,0.039,0.154,,,139,104,0.8,0.989
MDDadolescent-casevsCN-recurrent,L-frontalpole,-0.323,0.379,,,142,104,0.393,0.989
MDDadolescent-casevsCN-recurrent,L-temporalpole,-0.018,0.242,,,142,104,0.939,0.989
MDDadolescent-casevsCN-recurrent,L-transversetemporal,0.16,0.174,,,142,104,0.357,0.989
MDDadolescent-casevsCN-recurrent,L-insula,-0.048,0.244,,,140,104,0.845,0.989
MDDadolescent-casevsCN-recurrent,R-bankssts,-0.049,0.154,,,141,97,0.752,0.989
MDDadolescent-casevsCN-recurrent,R-caudalanteriorcingulate,0.158,0.218,,,142,104,0.47,0.989
MDDadolescent-casevsCN-recurrent,R-caudalmiddlefrontal,0.145,0.188,,,142,104,0.441,0.989
MDDadolescent-casevsCN-recurrent,R-cuneus,-0.082,0.153,,,140,104,0.594,0.989
MDDadolescent-casevsCN-recurrent,R-entorhinal,-0.032,0.158,,,139,102,0.838,0.989
MDDadolescent-casevsCN-recurrent,R-fusiform,-0.089,0.349,,,142,102,0.799,0.989
MDDadolescent-casevsCN-recurrent,R-inferiorparietal,-0.089,0.225,,,141,104,0.691,0.989
MDDadolescent-casevsCN-recurrent,R-inferiortemporal,-0.09,0.209,,,142,104,0.665,0.989
MDDadolescent-casevsCN-recurrent,R-isthmuscingulate,-0.187,0.153,,,141,104,0.224,0.989
MDDadolescent-casevsCN-recurrent,R-lateraloccipital,0.2,0.309,,,142,104,0.517,0.989
MDDadolescent-casevsCN-recurrent,R-lateralorbitofrontal,-0.261,0.155,,,142,102,0.092,0.989
MDDadolescent-casevsCN-recurrent,R-lingual,0.108,0.153,,,142,104,0.481,0.989
MDDadolescent-casevsCN-recurrent,R-medialorbitofrontal,-0.173,0.175,,,141,104,0.324,0.989
MDDadolescent-casevsCN-recurrent,R-middletemporal,-0.004,0.198,,,142,98,0.982,0.989
MDDadolescent-casevsCN-recurrent,R-parahippocampal,-0.153,0.219,,,142,103,0.485,0.989
MDDadolescent-casevsCN-recurrent,R-paracentral,-0.057,0.154,,,139,104,0.71,0.989
MDDadolescent-casevsCN-recurrent,R-parsopercularis,-0.254,0.154,,,141,104,0.099,0.989
MDDadolescent-casevsCN-recurrent,R-parsorbitalis,-0.01,0.291,,,142,102,0.973,0.989
MDDadolescent-casevsCN-recurrent,R-parstriangularis,-0.051,0.178,,,142,104,0.776,0.989
MDDadolescent-casevsCN-recurrent,R-pericalcarine,0.007,0.154,,,142,103,0.966,0.989
MDDadolescent-casevsCN-recurrent,R-postcentral,-0.095,0.224,,,140,104,0.672,0.989
MDDadolescent-casevsCN-recurrent,R-posteriorcingulate,0.108,0.153,,,142,104,0.479,0.989
MDDadolescent-casevsCN-recurrent,R-precentral,-0.137,0.153,,,141,104,0.37,0.989
MDDadolescent-casevsCN-recurrent,R-precuneus,0.009,0.211,,,142,104,0.966,0.989
MDDadolescent-casevsCN-recurrent,R-rostralanteriorcingulate,-0.069,0.154,,,141,103,0.654,0.989
MDDadolescent-casevsCN-recurrent,R-rostralmiddlefrontal,0.11,0.153,,,141,104,0.472,0.989
MDDadolescent-casevsCN-recurrent,R-superiorfrontal,0.038,0.153,,,142,104,0.806,0.989
MDDadolescent-casevsCN-recurrent,R-superiorparietal,-0.011,0.153,,,141,104,0.944,0.989
MDDadolescent-casevsCN-recurrent,R-superiortemporal,0.015,0.214,,,142,100,0.942,0.989
MDDadolescent-casevsCN-recurrent,R-supramarginal,0.158,0.155,,,139,102,0.306,0.989
MDDadolescent-casevsCN-recurrent,R-frontalpole,-0.136,0.153,,,142,104,0.375,0.989
MDDadolescent-casevsCN-recurrent,R-temporalpole,0.037,0.194,,,142,104,0.849,0.989
MDDadolescent-casevsCN-recurrent,R-transversetemporal,0.298,0.154,,,142,104,0.052,0.989
MDDadolescent-casevsCN-recurrent,R-insula,0.05,0.154,,,139,104,0.745,0.989
